Subject,Condition,Accuracy,RT
103,hungover,0,328
103,hungover,1,497
103,hungover,1,411
103,hungover,1,450
103,hungover,1,378
103,hungover,1,329
103,hungover,1,333
103,hungover,1,346
103,hungover,1,422
103,hungover,1,604
103,hungover,1,333
103,hungover,1,384
103,hungover,1,495
103,hungover,1,464
103,hungover,1,409
103,hungover,1,388
103,hungover,0,237
103,hungover,1,656
103,hungover,1,335
103,hungover,1,377
103,hungover,1,374
103,hungover,1,416
103,hungover,0,386
103,hungover,1,448
103,hungover,1,353
103,hungover,1,359
103,hungover,1,450
103,hungover,1,266
103,hungover,1,394
103,hungover,1,308
103,hungover,1,277
103,hungover,0,189
103,hungover,0,261
103,hungover,1,472
103,hungover,1,552
103,hungover,1,362
103,hungover,1,478
103,hungover,1,824
103,hungover,1,382
103,hungover,1,476
103,hungover,1,429
103,hungover,1,330
103,hungover,1,641
103,hungover,1,339
103,hungover,1,439
103,hungover,0,543
103,hungover,1,308
103,hungover,1,370
103,hungover,1,358
103,hungover,1,369
103,hungover,1,365
103,hungover,1,481
103,hungover,1,427
103,hungover,1,433
103,hungover,1,359
103,hungover,1,453
103,hungover,1,379
103,hungover,1,296
103,hungover,1,292
103,hungover,1,265
103,hungover,1,367
103,hungover,0,412
103,hungover,1,375
103,hungover,1,349
103,hungover,1,380
103,hungover,1,408
103,hungover,1,376
103,hungover,1,352
103,hungover,1,359
103,hungover,1,321
103,hungover,1,451
103,hungover,1,408
103,hungover,1,356
103,hungover,1,300
103,hungover,1,386
103,hungover,1,345
103,hungover,1,430
103,hungover,0,366
103,hungover,1,429
103,hungover,1,700
103,hungover,1,369
103,hungover,1,314
103,hungover,1,310
103,hungover,1,228
103,hungover,1,237
103,hungover,0,203
103,hungover,1,448
103,hungover,1,555
103,hungover,1,414
103,hungover,1,292
103,hungover,1,456
103,hungover,1,362
103,hungover,1,534
103,hungover,1,578
103,hungover,1,340
103,hungover,1,554
103,hungover,1,428
103,hungover,1,362
103,hungover,1,291
103,hungover,1,378
103,hungover,1,319
103,hungover,1,390
103,hungover,1,493
103,hungover,1,318
103,hungover,1,342
103,hungover,1,345
103,hungover,0,269
103,hungover,1,377
103,hungover,1,388
103,hungover,1,403
103,hungover,1,336
103,hungover,1,450
103,hungover,1,753
103,hungover,1,372
103,hungover,1,426
103,hungover,1,346
103,hungover,1,415
103,hungover,1,363
103,hungover,1,319
103,hungover,1,351
103,hungover,0,301
103,hungover,1,450
103,hungover,1,420
103,hungover,1,439
103,hungover,1,411
103,hungover,1,342
103,hungover,1,415
103,hungover,0,299
103,hungover,1,481
103,hungover,1,355
104,hungover,1,1057
104,hungover,1,581
104,hungover,1,444
104,hungover,1,532
104,hungover,1,422
