"Subject","Drift_H","Boundary_H","Non-Decision_H","Drift_C","Boundary_C","Non-Decision_C"
57,0.263343409815525,0.11690318285503,0.345572867233563,0.223511868495529,0.0921855817977941,0.34138511960961
59,0.245834577129376,0.0926453464584551,0.362617768546256,0.283742476571084,0.129115728120877,0.322853402569242
60,0.225461102198472,0.136545428418207,0.308833890850533,0.263879451887321,0.108506308543882,0.344606358454785
61,0.177263204258772,0.0991930033119626,0.348468141566441,0.22658140005336,0.109004375305535,0.273983131147998
63,0.232786525282501,0.0722001048219559,0.347616540201898,0.270843351380457,0.0779540976248657,0.362174611770247
64,0.208675414731334,0.101177942220654,0.280935667785493,0.278037121172283,0.0888311742854148,0.302173558874476
68,0.3106011699326,0.099116441827994,0.304485102282863,0.367330194421521,0.0872352126643719,0.323519664190395
73,0.305604485860141,0.119879184227887,0.374672196767735,0.351576677719325,0.0951941218429799,0.373824222167993
74,0.165687173667834,0.157052155280079,0.15946216676122,0.218231784056912,0.135896509174912,0.27715490723431
77,0.327678260928966,0.0845160032230521,0.342255629788496,0.267735096408238,0.136835315775841,0.288234759785029
80,0.204496386464026,0.179150434365946,0.213873056168676,0.205012791682461,0.150164692352537,0.208995964686847
82,0.207271974800854,0.133612163358818,0.280721509876808,0.210331463960706,0.141000956708447,0.276660871664024
83,0.168675760010478,0.175822166993677,0.235892159316651,0.246885676854139,0.115975076358084,0.329490543174504
84,0.278803301422955,0.0816899565154992,0.293748139881708,0.271921332194364,0.0795938610760463,0.312794468818635
85,0.306985712552928,0.104383123767956,0.404248014193067,0.329210519536984,0.0973362809714425,0.394698081121633
87,0.29933693776564,0.122389227118972,0.338787807828023,0.301501481743946,0.121510568536475,0.344566380102096
89,0.337589711122005,0.156796983152472,0.423092203336068,0.313819259908995,0.124014705128016,0.301314196526019
103,0.294720693078509,0.083802612265474,0.284006042308643,0.278877352942854,0.0861406220013903,0.292195566812697
105,0.250813320005859,0.122743412473517,0.307842011075741,0.304433815793509,0.0974166998073016,0.304683142496584
116,0.226340333649245,0.126502354941508,0.300729136984725,0.324928587288141,0.0986189854695373,0.380082017772291
120,0.178217219587843,0.131205232637107,0.285681633954884,0.276092735017803,0.116062914970726,0.379206404532685
121,0.232618958133531,0.143874916148286,0.267778818617978,0.237001454761493,0.164210818960042,0.226423167591346
129,0.246920108655083,0.112157965212472,0.291685562556624,0.261118499895383,0.0919991063606115,0.332079627189397
130,0.147121786671659,0.150871403318788,0.168754434565767,0.319755111522626,0.104667703157563,0.372460922706867
133,0.167595043344264,0.274179937451703,0.0163762367281701,0.261113407576163,0.149047126083537,0.259009394982027
138,0.208439776926139,0.0988514377621582,0.266467341415784,0.237615944200449,0.0807504381259335,0.302581029741393
148,0.189116740311691,0.169440989600356,0.200962549814343,0.279897072531498,0.139044694641194,0.330550012566629
152,0.160257436163135,0.142117770725063,0.28506865060402,0.187738024614091,0.0875380343767795,0.360398173304681
178,0.178821875980124,0.172158370571804,0.390992095902917,0.216364443174498,0.123991370936781,0.359142690105338
