"subject","boundary","nonDecision","drift"
57,1.72893893970772,0.230168199318349,2.49886153677227
59,1.2956633470186,0.279341326749956,2.22368407360773
60,1.45954759131549,0.317284818990811,2.50718522804235
61,1.20972168182159,0.279215387481358,1.65916495047641
63,1.21122378542617,0.209033827757087,1.76083151981474
64,1.4553418469211,0.160780033209108,1.89351344094183
68,1.55078171972444,0.199134770389745,2.89532596712985
73,1.48379894388474,0.337631101161757,3.1631982076197
74,1.34654311529782,0.262297931583912,1.96943782154628
77,1.35975304010666,0.25585785259273,3.0560857652482
80,1.8587227223061,0.215684539401747,2.14477444676157
82,1.40182051546507,0.265617891551088,2.10200822224216
83,1.77449198574992,0.275379519435765,1.86571270314115
84,1.00021547931085,0.26352569190885,2.78463150282863
85,1.79180282069304,0.272505473145261,2.89114766962237
87,1.34607204057079,0.32634483530318,3.08536889537804
89,2.6368518997317,0.309554475389424,3.79132593974513
103,1.35453020372973,0.170833620124641,2.51992776010915
105,1.66227655881895,0.229826511980457,2.54865393292497
109,1.79214698723754,0.259578606399474,1.39444731181923
116,1.39511999357221,0.297732393218107,2.27025522137569
120,1.54573093455075,0.239219834119006,1.840599073914
121,1.62248938228186,0.252627974458802,2.50823987810483
129,1.23818017392682,0.268633565078935,2.49705899303065
130,1.68361132087545,0.16246335864263,1.64882970920188
133,2.05907880756592,0.253906359132843,1.77441656298891
138,1.02098708583775,0.260993037831988,2.19573789034549
139,1.83219883381745,0.195160165876929,1.34382393247735
148,1.55790423069275,0.304014235645713,2.34070465045894
152,1.53763451011899,0.272410827182055,1.6966121792381
178,1.93093384421594,0.331648904494783,1.7770349939682
